"quarter","observations","type.of.building","region","value"
"1996K1","Number","one- or two-dwelling buildings","Sweden",670
"1996K2","Number","one- or two-dwelling buildings","Sweden",1138
"1996K3","Number","one- or two-dwelling buildings","Sweden",667
"1996K4","Number","one- or two-dwelling buildings","Sweden",1092
"1997K1","Number","one- or two-dwelling buildings","Sweden",808
"1997K2","Number","one- or two-dwelling buildings","Sweden",1469
"1997K3","Number","one- or two-dwelling buildings","Sweden",1110
"1997K4","Number","one- or two-dwelling buildings","Sweden",1694
"1998K1","Number","one- or two-dwelling buildings","Sweden",1276
"1998K2","Number","one- or two-dwelling buildings","Sweden",1745
"1998K3","Number","one- or two-dwelling buildings","Sweden",1448
"1998K4","Number","one- or two-dwelling buildings","Sweden",1723
"1999K1","Number","one- or two-dwelling buildings","Sweden",1568
"1999K2","Number","one- or two-dwelling buildings","Sweden",2444
"1999K3","Number","one- or two-dwelling buildings","Sweden",1718
"1999K4","Number","one- or two-dwelling buildings","Sweden",2013
"2000K1","Number","one- or two-dwelling buildings","Sweden",2029
"2000K2","Number","one- or two-dwelling buildings","Sweden",2619
"2000K3","Number","one- or two-dwelling buildings","Sweden",1829
"2000K4","Number","one- or two-dwelling buildings","Sweden",2033
"2001K1","Number","one- or two-dwelling buildings","Sweden",1901
"2001K2","Number","one- or two-dwelling buildings","Sweden",2175
"2001K3","Number","one- or two-dwelling buildings","Sweden",1457
"2001K4","Number","one- or two-dwelling buildings","Sweden",1734
"2002K1","Number","one- or two-dwelling buildings","Sweden",1685
"2002K2","Number","one- or two-dwelling buildings","Sweden",2264
"2002K3","Number","one- or two-dwelling buildings","Sweden",1747
"2002K4","Number","one- or two-dwelling buildings","Sweden",2046
"2003K1","Number","one- or two-dwelling buildings","Sweden",2229
"2003K2","Number","one- or two-dwelling buildings","Sweden",3135
"2003K3","Number","one- or two-dwelling buildings","Sweden",2007
"2003K4","Number","one- or two-dwelling buildings","Sweden",2517
"2004K1","Number","one- or two-dwelling buildings","Sweden",2747
"2004K2","Number","one- or two-dwelling buildings","Sweden",3256
"2004K3","Number","one- or two-dwelling buildings","Sweden",2357
"2004K4","Number","one- or two-dwelling buildings","Sweden",2878
"2005K1","Number","one- or two-dwelling buildings","Sweden",2466
"2005K2","Number","one- or two-dwelling buildings","Sweden",4012
"2005K3","Number","one- or two-dwelling buildings","Sweden",2660
"2005K4","Number","one- or two-dwelling buildings","Sweden",3577
"2006K1","Number","one- or two-dwelling buildings","Sweden",3491
"2006K2","Number","one- or two-dwelling buildings","Sweden",4075
"2006K3","Number","one- or two-dwelling buildings","Sweden",2767
"2006K4","Number","one- or two-dwelling buildings","Sweden",4433
"2007K1","Number","one- or two-dwelling buildings","Sweden",3247
"2007K2","Number","one- or two-dwelling buildings","Sweden",4484
"2007K3","Number","one- or two-dwelling buildings","Sweden",2833
"2007K4","Number","one- or two-dwelling buildings","Sweden",3287
"2008K1","Number","one- or two-dwelling buildings","Sweden",2981
"2008K2","Number","one- or two-dwelling buildings","Sweden",3352
"2008K3","Number","one- or two-dwelling buildings","Sweden",2193
"2008K4","Number","one- or two-dwelling buildings","Sweden",2373
"2009K1","Number","one- or two-dwelling buildings","Sweden",1719
"2009K2","Number","one- or two-dwelling buildings","Sweden",2679
"2009K3","Number","one- or two-dwelling buildings","Sweden",1886
"2009K4","Number","one- or two-dwelling buildings","Sweden",2649
"2010K1","Number","one- or two-dwelling buildings","Sweden",2633
"2010K2","Number","one- or two-dwelling buildings","Sweden",2933
"2010K3","Number","one- or two-dwelling buildings","Sweden",2375
"2010K4","Number","one- or two-dwelling buildings","Sweden",2850
"2011K1","Number","one- or two-dwelling buildings","Sweden",2460
"2011K2","Number","one- or two-dwelling buildings","Sweden",2710
"2011K3","Number","one- or two-dwelling buildings","Sweden",1544
"2011K4","Number","one- or two-dwelling buildings","Sweden",1693
"2012K1","Number","one- or two-dwelling buildings","Sweden",1633
"2012K2","Number","one- or two-dwelling buildings","Sweden",1761
"2012K3","Number","one- or two-dwelling buildings","Sweden",1544
"2012K4","Number","one- or two-dwelling buildings","Sweden",1660
"2013K1","Number","one- or two-dwelling buildings","Sweden",1584
"2013K2","Number","one- or two-dwelling buildings","Sweden",1989
"2013K3","Number","one- or two-dwelling buildings","Sweden",1724
"2013K4","Number","one- or two-dwelling buildings","Sweden",1810
"2014K1","Number","one- or two-dwelling buildings","Sweden",1955
"2014K2","Number","one- or two-dwelling buildings","Sweden",2865
"2014K3","Number","one- or two-dwelling buildings","Sweden",2312
"2014K4","Number","one- or two-dwelling buildings","Sweden",2690
"2015K1","Number","one- or two-dwelling buildings","Sweden",2543
"2015K2","Number","one- or two-dwelling buildings","Sweden",3617
"2015K3","Number","one- or two-dwelling buildings","Sweden",2570
"2015K4","Number","one- or two-dwelling buildings","Sweden",3062
"2016K1","Number","one- or two-dwelling buildings","Sweden",3221
"2016K2","Number","one- or two-dwelling buildings","Sweden",4486
"2016K3","Number","one- or two-dwelling buildings","Sweden",2884
"2016K4","Number","one- or two-dwelling buildings","Sweden",4088
"2017K1","Number","one- or two-dwelling buildings","Sweden",3487
"2017K2","Number","one- or two-dwelling buildings","Sweden",3744
"2017K3","Number","one- or two-dwelling buildings","Sweden",3209
"2017K4","Number","one- or two-dwelling buildings","Sweden",3696
"2018K1","Number","one- or two-dwelling buildings","Sweden",3029
"2018K2","Number","one- or two-dwelling buildings","Sweden",3333
"2018K3","Number","one- or two-dwelling buildings","Sweden",2322
"2018K4","Number","one- or two-dwelling buildings","Sweden",3037
"2019K1","Number","one- or two-dwelling buildings","Sweden",3151
"2019K2","Number","one- or two-dwelling buildings","Sweden",3462
"2019K3","Number","one- or two-dwelling buildings","Sweden",2794
"2019K4","Number","one- or two-dwelling buildings","Sweden",2632
"2020K1","Number","one- or two-dwelling buildings","Sweden",3141
"2020K2","Number","one- or two-dwelling buildings","Sweden",3461
"2020K3","Number","one- or two-dwelling buildings","Sweden",2896
"2020K4","Number","one- or two-dwelling buildings","Sweden",3582
"2021K1","Number","one- or two-dwelling buildings","Sweden",4011
"2021K2","Number","one- or two-dwelling buildings","Sweden",4908
"2021K3","Number","one- or two-dwelling buildings","Sweden",3457
"2021K4","Number","one- or two-dwelling buildings","Sweden",4234
"2022K1","Number","one- or two-dwelling buildings","Sweden",3793
"2022K2","Number","one- or two-dwelling buildings","Sweden",4108
"2022K3","Number","one- or two-dwelling buildings","Sweden",2942
"2022K4","Number","one- or two-dwelling buildings","Sweden",2568
"2023K1","Number","one- or two-dwelling buildings","Sweden",2198
"2023K2","Number","one- or two-dwelling buildings","Sweden",1746
"2023K3","Number","one- or two-dwelling buildings","Sweden",1179
"2023K4","Number","one- or two-dwelling buildings","Sweden",1467
"2024K1","Number","one- or two-dwelling buildings","Sweden",1331
"2024K2","Number","one- or two-dwelling buildings","Sweden",1649
"2024K3","Number","one- or two-dwelling buildings","Sweden",1371
"2024K4","Number","one- or two-dwelling buildings","Sweden",1517
"2025K1","Number","one- or two-dwelling buildings","Sweden",1521
"1996K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",1050
"1996K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",1159
"1996K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",1042
"1996K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",1683
"1997K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",403
"1997K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",1926
"1997K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",957
"1997K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",1813
"1998K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",618
"1998K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",1176
"1998K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",1108
"1998K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",2225
"1999K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",599
"1999K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",1082
"1999K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",1479
"1999K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",1375
"2000K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",1158
"2000K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",2187
"2000K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",1199
"2000K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",2093
"2001K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",2861
"2001K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",2321
"2001K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",1779
"2001K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",2103
"2002K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",1627
"2002K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",2322
"2002K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",1581
"2002K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",1936
"2003K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",2685
"2003K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",3123
"2003K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",2192
"2003K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",3162
"2004K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",3025
"2004K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",3724
"2004K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",2971
"2004K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",4862
"2005K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",3825
"2005K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",4232
"2005K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",3835
"2005K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",5862
"2006K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",3778
"2006K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",7421
"2006K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",5241
"2006K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",11517
"2007K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",2714
"2007K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",4323
"2007K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",3194
"2007K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",2948
"2008K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",3788
"2008K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",2642
"2008K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",1924
"2008K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",3889
"2009K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",3263
"2009K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",2469
"2009K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",2365
"2009K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",3228
"2010K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",3952
"2010K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",4612
"2010K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",3334
"2010K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",4076
"2011K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",4602
"2011K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",5905
"2011K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",3185
"2011K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",5001
"2012K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",3414
"2012K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",5001
"2012K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",3732
"2012K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",5144
"2013K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",5183
"2013K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",5775
"2013K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",5462
"2013K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",7313
"2014K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",5265
"2014K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",6094
"2014K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",8593
"2014K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",7397
"2015K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",7373
"2015K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",10423
"2015K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",7840
"2015K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",12264
"2016K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",8558
"2016K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",12534
"2016K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",9869
"2016K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",14465
"2017K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",13466
"2017K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",16575
"2017K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",9452
"2017K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",11269
"2018K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",8782
"2018K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",10767
"2018K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",8830
"2018K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",14816
"2019K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",7496
"2019K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",11349
"2019K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",9275
"2019K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",8998
"2020K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",9581
"2020K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",14061
"2020K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",10655
"2020K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",12015
"2021K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",11340
"2021K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",16350
"2021K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",11958
"2021K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",17697
"2022K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",11415
"2022K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",14091
"2022K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",8970
"2022K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",9383
"2023K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",4568
"2023K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",6970
"2023K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",3399
"2023K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",4359
"2024K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",4746
"2024K2","Number","multi-dwelling buildings excluding service dwellings","Sweden",5746
"2024K3","Number","multi-dwelling buildings excluding service dwellings","Sweden",3674
"2024K4","Number","multi-dwelling buildings excluding service dwellings","Sweden",5541
"2025K1","Number","multi-dwelling buildings excluding service dwellings","Sweden",5221
"1996K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1138
"1996K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",659
"1996K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1125
"1996K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",418
"1997K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",183
"1997K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1025
"1997K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",460
"1997K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",607
"1998K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",696
"1998K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",516
"1998K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",569
"1998K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",675
"1999K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",473
"1999K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",1090
"1999K3","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",721
"1999K4","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",685
"2000K1","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",679
"2000K2","Number","service dwellings for the elderly and dwellings for students, special dwellings","Sweden",809
